date,description,amount,provider
29 Apr 24,FB AU PTY LTD EASTWOOD,-18.0,NAB
29 Apr 24,AN VIET EASTWOOD PTY Eastwood,-80.6,NAB
29 Apr 24,VICTORIAS BASEMENT AUBURN,-117.2,NAB
26 Apr 24,THE Q ON HARRIS Ultimo,-4.0,NAB
26 Apr 24,Kindle Svcs MELBOURNE,-3.89,NAB
26 Apr 24,Kindle Svcs MELBOURNE,-15.99,NAB
26 Apr 24,Kindle Svcs MELBOURNE,15.99,NAB
26 Apr 24,Kindle Svcs MELBOURNE,3.89,NAB
24 Apr 24,OIDEN 11 PTY LTD SYDNEY,-23.7,NAB
23 Apr 24,THE Q ON HARRIS Ultimo,-4.0,NAB
22 Apr 24,ShopBack Old School KafeyAustralia,-14.59,NAB
19 Apr 24,DidiChuxing DIDI MOBILITYSydney,-8.33,NAB
19 Apr 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-36.26,NAB
18 Apr 24,SQ *SKITTLE LANE Sydney,-5.0,NAB
18 Apr 24,ShopBack Zilia Australia,-16.24,NAB
17 Apr 24,EDITION ROASTERS MC Sydney,-6.0,NAB
17 Apr 24,AMAZON AU SYDNEY SOUTH,32.57,NAB
16 Apr 24,CHEMIST WAREHOUSE EASTWOOD,-37.99,NAB
16 Apr 24,Google YouTubePremium Barangaroo,-32.99,NAB
16 Apr 24,LINKT SYDNEY SYDNEY,-20.17,NAB
16 Apr 24,EASTWOOD THAI MASSAGE EASTWOOD,-76.0,NAB
16 Apr 24,CASH/TRANSFER PAYMENT - THANK YOU,2981.07,NAB
15 Apr 24,CN Poultry Eastwood Eastwood,-9.74,NAB
15 Apr 24,LIVE GROUP/8/1 PROGRESS AEASTWOOD,-22.36,NAB
15 Apr 24,COCO FRESH TEA AND JUICE SYDNEY,-13.0,NAB
12 Apr 24,AMAZON AU SYDNEY SOUTH,-6.5,NAB
12 Apr 24,SQ *KAPPUCCINO Ultimo,-4.2,NAB
12 Apr 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-39.99,NAB
11 Apr 24,AMAZON AU SYDNEY SOUTH,-32.57,NAB
11 Apr 24,ZLR*Tuyen Fresh Seafood Haymarket,-12.74,NAB
10 Apr 24,GLASGOW HOTEL PTY LTD ULTIMO,-27.0,NAB
10 Apr 24,KBAY GLOBAL CHERRYBROOK,-25.8,NAB
10 Apr 24,LA VIGNE BAKERY EASTWOOD,-22.0,NAB
10 Apr 24,S-MART KOREA EASTWOOD,-19.32,NAB
10 Apr 24,JUN'S NOODLE & BUN EASTWOOD,-16.04,NAB
10 Apr 24,257 HOME KITCHEN EASTWOOD,-82.62,NAB
09 Apr 24,SQ *KAPPUCCINO Ultimo,-4.2,NAB
09 Apr 24,Adobe Sydney,-14.29,NAB
09 Apr 24,PAYPAL *ROLLIN*INSU IN 4029357733,-125.44,NAB
08 Apr 24,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,-9.99,NAB
08 Apr 24,DidiChuxing DIDI MOBILITYSydney,-6.12,NAB
08 Apr 24,SQ *GUMPTION COFFEE Sydney,-4.5,NAB
08 Apr 24,ShopBack Mochi Donuts Australia,-4.06,NAB
08 Apr 24,ShopBack Canton Cafe Australia,-37.32,NAB
08 Apr 24,SQ *KAPPUCCINO Ultimo,-17.1,NAB
08 Apr 24,ShopBack Tea Spot Australia,-13.53,NAB
08 Apr 24,AMAZON AU SYDNEY SOUTH,-10.9,NAB
04 Apr 24,EDITION ROASTERS MC Sydney,-5.0,NAB
04 Apr 24,ShopBack Zilia Australia,-12.47,NAB
04 Apr 24,Sydney Doctors Sydney,-106.89,NAB
03 Apr 24,SQ *KAPPUCCINO Ultimo,-4.2,NAB
03 Apr 24,Rice & Curry Pyrmont,-20.71,NAB
03 Apr 24,SQ *ULTIMO KITCHEN Ultimo,-18.77,NAB
03 Apr 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-15.99,NAB
02 Apr 24,LITTLE SPARROW SYDNEY SYDNEY,-5.0,NAB
02 Apr 24,JBAE HOLDINGS PL SYDNEY,-4.6,NAB
02 Apr 24,ALDI STORES - WINSTON WINSTON HILLS,-20.08,NAB
02 Apr 24,Stacked Sydney,-15.06,NAB
02 Apr 24,EASTWOOD THAI MASSAGE EASTWOOD,-76.0,NAB
28 Mar 24,LOCALI BY ROMEOS SYDNEY,-15.0,NAB
28 Mar 24,EDITION ROASTERS MC Sydney,-14.5,NAB
28 Mar 24,THAI KEE IGA SUPERMA HAYMARKET,-96.2,NAB
27 Mar 24,SQ *BLACK & WHITE ESPRESSSydney,-4.89,NAB
27 Mar 24,LOCALI BY ROMEOS SYDNEY,-14.27,NAB
26 Mar 24,WOOLWORTHS/ROWE ST EASTWOOD,-8.35,NAB
26 Mar 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-29.99,NAB
26 Mar 24,SQ *TEA SPOT Eastwood,-20.3,NAB
26 Mar 24,CHEMIST WAREHOUSE EASTWOOD,-79.98,NAB
26 Mar 24,PBS EASTWOOD PTY LTD EASTWOOD,-60.76,NAB
26 Mar 24,THE GOOD GUYS WEB STORE SOUTHBANK,1474.0,NAB
26 Mar 24,MCDONALDS DARLING SQ HAYMARKET,9.1,NAB
25 Mar 24,Boost Juice Broadway Ultimo,-8.9,NAB
